Caça Os Meus Sonhos;https://www.ingress.com/intel?ll=37.744243,-25.676309&z=17&pll=37.744243,-25.676309
Playground House;https://www.ingress.com/intel?ll=37.743258,-25.675303&z=17&pll=37.743258,-25.675303
Árvore Do Papel;https://www.ingress.com/intel?ll=37.744074,-25.676444&z=17&pll=37.744074,-25.676444
House Of Azulejo In The Park;https://www.ingress.com/intel?ll=37.742759,-25.67432&z=17&pll=37.742759,-25.67432
Banco em Pedra;https://www.ingress.com/intel?ll=37.744153,-25.67606&z=17&pll=37.744153,-25.67606
Azinheira;https://www.ingress.com/intel?ll=37.744181,-25.676675&z=17&pll=37.744181,-25.676675
Picconia Azorica;https://www.ingress.com/intel?ll=37.744603,-25.676392&z=17&pll=37.744603,-25.676392
Torre Jardim Antonio Borges;https://www.ingress.com/intel?ll=37.744653,-25.676726&z=17&pll=37.744653,-25.676726
Passagem Jardim;https://www.ingress.com/intel?ll=37.743638,-25.675838&z=17&pll=37.743638,-25.675838
Volcanic Caves;https://www.ingress.com/intel?ll=37.743632,-25.676242&z=17&pll=37.743632,-25.676242
Windows Tower;https://www.ingress.com/intel?ll=37.743803,-25.675449&z=17&pll=37.743803,-25.675449
Palmeira do Cânhamo;https://www.ingress.com/intel?ll=37.743032,-25.675445&z=17&pll=37.743032,-25.675445
Bambu Preto;https://www.ingress.com/intel?ll=37.742908,-25.675765&z=17&pll=37.742908,-25.675765
Art Pousada Juventude;https://www.ingress.com/intel?ll=37.743442,-25.674705&z=17&pll=37.743442,-25.674705
Ficus Macrophylla;https://www.ingress.com/intel?ll=37.743403,-25.675507&z=17&pll=37.743403,-25.675507
Palmeira Das Canárias;https://www.ingress.com/intel?ll=37.744791,-25.676223&z=17&pll=37.744791,-25.676223
City Park Plate;https://www.ingress.com/intel?ll=37.743106,-25.675794&z=17&pll=37.743106,-25.675794
Butia;https://www.ingress.com/intel?ll=37.743386,-25.675967&z=17&pll=37.743386,-25.675967
Congregação  Irmas S. Jose De Cluny;https://www.ingress.com/intel?ll=37.744387,-25.67434&z=17&pll=37.744387,-25.67434
Dama da Noite;https://www.ingress.com/intel?ll=37.742838,-25.675274&z=17&pll=37.742838,-25.675274
